world_size=1  device=cuda:0  dtype=torch.bfloat16
model: 353.55M non-emb params
iter   2480 | loss 4.1370 | lr 1.23e-04 | 2204 ms | 14.9k tok/s
iter   2490 | loss 4.1892 | lr 1.22e-04 | 2204 ms | 14.9k tok/s
iter   2500 | loss 4.1862 | lr 1.21e-04 | 2204 ms | 14.9k tok/s
           saved ckpt -> out/gpt2_350m_fweb_5060ti/ckpt.pt
iter   2510 | loss 4.1848 | lr 1.20e-04 | 4085 ms | 8.0k tok/s
iter   2520 | loss 4.2382 | lr 1.19e-04 | 2202 ms | 14.9k tok/s
iter   2530 | loss 4.2080 | lr 1.18e-04 | 2204 ms | 14.9k tok/s
iter   2540 | loss 4.1450 | lr 1.17e-04 | 2204 ms | 14.9k tok/s
iter   2550 | loss 4.2163 | lr 1.16e-04 | 2205 ms | 14.9k tok/s
iter   2560 | loss 4.2241 | lr 1.15e-04 | 2205 ms | 14.9k tok/s
iter   2570 | loss 4.1814 | lr 1.14e-04 | 2204 ms | 14.9k tok/s
iter   2580 | loss 4.1120 | lr 1.13e-04 | 2204 ms | 14.9k tok/s
iter   2590 | loss 4.1964 | lr 1.12e-04 | 2204 ms | 14.9k tok/s
iter   2600 | loss 4.1623 | lr 1.11e-04 | 2203 ms | 14.9k tok/s
           eval | val 4.2041 | ppl 66.96
           best val 4.2041 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   2610 | loss 4.2221 | lr 1.10e-04 | 4225 ms | 7.8k tok/s
iter   2620 | loss 4.1550 | lr 1.09e-04 | 2203 ms | 14.9k tok/s
iter   2630 | loss 4.2350 | lr 1.08e-04 | 2205 ms | 14.9k tok/s
iter   2640 | loss 4.2186 | lr 1.07e-04 | 2204 ms | 14.9k tok/s
iter   2650 | loss 4.0327 | lr 1.06e-04 | 2204 ms | 14.9k tok/s
iter   2660 | loss 4.2159 | lr 1.05e-04 | 2204 ms | 14.9k tok/s
iter   2670 | loss 4.0415 | lr 1.04e-04 | 2204 ms | 14.9k tok/s
iter   2680 | loss 4.1344 | lr 1.03e-04 | 2204 ms | 14.9k tok/s
iter   2690 | loss 4.0436 | lr 1.02e-04 | 2203 ms | 14.9k tok/s
iter   2700 | loss 4.2084 | lr 1.01e-04 | 2203 ms | 14.9k tok/s
iter   2710 | loss 4.1048 | lr 9.98e-05 | 2204 ms | 14.9k tok/s
iter   2720 | loss 4.1355 | lr 9.88e-05 | 2203 ms | 14.9k tok/s
iter   2730 | loss 4.0751 | lr 9.78e-05 | 2203 ms | 14.9k tok/s
iter   2740 | loss 4.1356 | lr 9.69e-05 | 2203 ms | 14.9k tok/s
iter   2750 | loss 4.1455 | lr 9.59e-05 | 2203 ms | 14.9k tok/s
iter   2760 | loss 4.2286 | lr 9.49e-05 | 2203 ms | 14.9k tok/s
iter   2770 | loss 4.1231 | lr 9.40e-05 | 2203 ms | 14.9k tok/s
iter   2780 | loss 4.2288 | lr 9.30e-05 | 2203 ms | 14.9k tok/s
iter   2790 | loss 4.2865 | lr 9.21e-05 | 2203 ms | 14.9k tok/s
iter   2800 | loss 4.0615 | lr 9.12e-05 | 2203 ms | 14.9k tok/s
           eval | val 4.1443 | ppl 63.07
           best val 4.1443 → saved out/gpt2_350m_fweb_5060ti/ckpt_best.pt
iter   2810 | loss 4.0343 | lr 9.02e-05 | 4428 ms | 7.4k tok/s
iter   2820 | loss 4.1148 | lr 8.93e-05 | 2202 ms | 14.9k tok/s
iter   2830 | loss 4.0687 | lr 8.84e-05 | 2204 ms | 14.9k tok/s
iter   2840 | loss 4.0915 | lr 8.75e-05 | 2204 ms | 14.9k tok/s
iter   2850 | loss 4.2087 | lr 8.66e-05 | 2204 ms | 14.9k tok/s
iter   2860 | loss 4.0767 | lr 8.56e-05 | 2204 ms | 14.9k tok/s
iter   2870 | loss 4.1780 | lr 8.47e-05 | 2204 ms | 14.9k tok/s
iter   2880 | loss 4.1297 | lr 8.39e-05 | 2204 ms | 14.9k tok/s
iter   2890 | loss 4.0958 | lr 8.30e-05 | 2204 ms | 14.9k tok/s
iter   2900 | loss 4.0009 | lr 8.21e-05 | 2203 ms | 14.9k tok/s
iter   2910 | loss 4.0820 | lr 8.12e-05 | 2203 ms | 14.9k tok/s
iter   2920 | loss 4.1635 | lr 8.03e-05 | 2203 ms | 14.9k tok/s
