model: 25.73M params (25.70M non-emb)
iter   3200 | loss 0.0638 | lr 4.56e-04 | 348.1 ms/it | 94.1k tok/s
iter   3220 | loss 0.0676 | lr 4.55e-04 | 348.3 ms/it | 94.1k tok/s
iter   3240 | loss 0.0642 | lr 4.55e-04 | 348.3 ms/it | 94.1k tok/s
iter   3260 | loss 0.0640 | lr 4.54e-04 | 348.2 ms/it | 94.1k tok/s
iter   3280 | loss 0.0605 | lr 4.54e-04 | 348.0 ms/it | 94.1k tok/s
iter   3300 | loss 0.0637 | lr 4.53e-04 | 348.1 ms/it | 94.1k tok/s
iter   3320 | loss 0.0675 | lr 4.52e-04 | 348.1 ms/it | 94.1k tok/s
iter   3340 | loss 0.0625 | lr 4.52e-04 | 348.0 ms/it | 94.2k tok/s
iter   3360 | loss 0.0627 | lr 4.51e-04 | 348.0 ms/it | 94.2k tok/s
iter   3380 | loss 0.0640 | lr 4.51e-04 | 348.0 ms/it | 94.2k tok/s
iter   3400 | loss 0.0636 | lr 4.50e-04 | 348.0 ms/it | 94.2k tok/s
iter   3420 | loss 0.0647 | lr 4.49e-04 | 348.0 ms/it | 94.2k tok/s
iter   3440 | loss 0.0629 | lr 4.49e-04 | 348.0 ms/it | 94.2k tok/s
iter   3460 | loss 0.0593 | lr 4.48e-04 | 348.0 ms/it | 94.2k tok/s
iter   3480 | loss 0.0625 | lr 4.48e-04 | 348.0 ms/it | 94.2k tok/s
iter   3500 | loss 0.0676 | lr 4.47e-04 | 348.0 ms/it | 94.2k tok/s
           eval | train 0.0610 | val 4.1389
iter   3520 | loss 0.0631 | lr 4.46e-04 | 899.0 ms/it | 36.5k tok/s
iter   3540 | loss 0.0645 | lr 4.46e-04 | 348.0 ms/it | 94.2k tok/s
iter   3560 | loss 0.0588 | lr 4.45e-04 | 348.0 ms/it | 94.2k tok/s
iter   3580 | loss 0.0620 | lr 4.45e-04 | 348.0 ms/it | 94.2k tok/s
iter   3600 | loss 0.0629 | lr 4.44e-04 | 348.0 ms/it | 94.2k tok/s
iter   3620 | loss 0.0577 | lr 4.43e-04 | 348.0 ms/it | 94.2k tok/s
iter   3640 | loss 0.0611 | lr 4.43e-04 | 348.0 ms/it | 94.2k tok/s
iter   3660 | loss 0.0598 | lr 4.42e-04 | 348.0 ms/it | 94.2k tok/s
iter   3680 | loss 0.0572 | lr 4.41e-04 | 348.1 ms/it | 94.1k tok/s
iter   3700 | loss 0.0589 | lr 4.41e-04 | 348.0 ms/it | 94.2k tok/s
iter   3720 | loss 0.0649 | lr 4.40e-04 | 348.0 ms/it | 94.2k tok/s
iter   3740 | loss 0.0576 | lr 4.39e-04 | 348.0 ms/it | 94.2k tok/s
iter   3760 | loss 0.0568 | lr 4.39e-04 | 348.2 ms/it | 94.1k tok/s
iter   3780 | loss 0.0585 | lr 4.38e-04 | 348.2 ms/it | 94.1k tok/s
iter   3800 | loss 0.0562 | lr 4.37e-04 | 348.1 ms/it | 94.1k tok/s
iter   3820 | loss 0.0587 | lr 4.37e-04 | 348.0 ms/it | 94.2k tok/s
iter   3840 | loss 0.0623 | lr 4.36e-04 | 348.2 ms/it | 94.1k tok/s
iter   3860 | loss 0.0593 | lr 4.35e-04 | 348.0 ms/it | 94.1k tok/s
iter   3880 | loss 0.0584 | lr 4.35e-04 | 348.0 ms/it | 94.2k tok/s
iter   3900 | loss 0.0568 | lr 4.34e-04 | 348.0 ms/it | 94.2k tok/s
iter   3920 | loss 0.0551 | lr 4.33e-04 | 348.0 ms/it | 94.2k tok/s
iter   3940 | loss 0.0574 | lr 4.33e-04 | 347.9 ms/it | 94.2k tok/s
iter   3960 | loss 0.0597 | lr 4.32e-04 | 347.9 ms/it | 94.2k tok/s
iter   3980 | loss 0.0561 | lr 4.31e-04 | 348.0 ms/it | 94.2k tok/s
iter   4000 | loss 0.0544 | lr 4.31e-04 | 348.0 ms/it | 94.2k tok/s
           eval | train 0.0572 | val 4.2850
           saved ckpt -> out/small/ckpt.pt
iter   4020 | loss 0.0615 | lr 4.30e-04 | 911.3 ms/it | 36.0k tok/s
iter   4040 | loss 0.0562 | lr 4.29e-04 | 348.0 ms/it | 94.2k tok/s
iter   4060 | loss 0.0572 | lr 4.29e-04 | 348.0 ms/it | 94.2k tok/s
iter   4080 | loss 0.0589 | lr 4.28e-04 | 347.9 ms/it | 94.2k tok/s
iter   4100 | loss 0.0582 | lr 4.27e-04 | 347.9 ms/it | 94.2k tok/s
iter   4120 | loss 0.0571 | lr 4.26e-04 | 348.0 ms/it | 94.2k tok/s
iter   4140 | loss 0.0560 | lr 4.26e-04 | 348.0 ms/it | 94.2k tok/s
iter   4160 | loss 0.0549 | lr 4.25e-04 | 348.0 ms/it | 94.2k tok/s
iter   4180 | loss 0.0568 | lr 4.24e-04 | 348.1 ms/it | 94.1k tok/s
iter   4200 | loss 0.0571 | lr 4.24e-04 | 347.8 ms/it | 94.2k tok/s
iter   4220 | loss 0.0561 | lr 4.23e-04 | 347.8 ms/it | 94.2k tok/s
iter   4240 | loss 0.0568 | lr 4.22e-04 | 347.8 ms/it | 94.2k tok/s
iter   4260 | loss 0.0558 | lr 4.21e-04 | 347.8 ms/it | 94.2k tok/s
iter   4280 | loss 0.0540 | lr 4.21e-04 | 347.7 ms/it | 94.2k tok/s
iter   4300 | loss 0.0531 | lr 4.20e-04 | 347.8 ms/it | 94.2k tok/s
iter   4320 | loss 0.0552 | lr 4.19e-04 | 347.9 ms/it | 94.2k tok/s
iter   4340 | loss 0.0489 | lr 4.19e-04 | 348.0 ms/it | 94.2k tok/s
iter   4360 | loss 0.0526 | lr 4.18e-04 | 348.0 ms/it | 94.2k tok/s
iter   4380 | loss 0.0530 | lr 4.17e-04 | 348.0 ms/it | 94.2k tok/s
iter   4400 | loss 0.0525 | lr 4.16e-04 | 348.0 ms/it | 94.2k tok/s
iter   4420 | loss 0.0563 | lr 4.16e-04 | 348.0 ms/it | 94.2k tok/s
iter   4440 | loss 0.0496 | lr 4.15e-04 | 348.0 ms/it | 94.2k tok/s
iter   4460 | loss 0.0538 | lr 4.14e-04 | 347.9 ms/it | 94.2k tok/s
iter   4480 | loss 0.0540 | lr 4.13e-04 | 347.9 ms/it | 94.2k tok/s
iter   4500 | loss 0.0515 | lr 4.13e-04 | 348.0 ms/it | 94.1k tok/s
           eval | train 0.0533 | val 4.3664
iter   4520 | loss 0.0530 | lr 4.12e-04 | 898.5 ms/it | 36.5k tok/s
iter   4540 | loss 0.0514 | lr 4.11e-04 | 348.2 ms/it | 94.1k tok/s
iter   4560 | loss 0.0515 | lr 4.10e-04 | 348.2 ms/it | 94.1k tok/s
iter   4580 | loss 0.0538 | lr 4.10e-04 | 348.1 ms/it | 94.1k tok/s
iter   4600 | loss 0.0520 | lr 4.09e-04 | 348.0 ms/it | 94.2k tok/s
iter   4620 | loss 0.0544 | lr 4.08e-04 | 348.0 ms/it | 94.2k tok/s
iter   4640 | loss 0.0516 | lr 4.07e-04 | 348.1 ms/it | 94.1k tok/s
iter   4660 | loss 0.0493 | lr 4.06e-04 | 348.1 ms/it | 94.1k tok/s
iter   4680 | loss 0.0541 | lr 4.06e-04 | 348.0 ms/it | 94.2k tok/s
iter   4700 | loss 0.0515 | lr 4.05e-04 | 348.0 ms/it | 94.2k tok/s
iter   4720 | loss 0.0504 | lr 4.04e-04 | 348.0 ms/it | 94.2k tok/s
iter   4740 | loss 0.0506 | lr 4.03e-04 | 347.9 ms/it | 94.2k tok/s
iter   4760 | loss 0.0507 | lr 4.03e-04 | 347.8 ms/it | 94.2k tok/s
iter   4780 | loss 0.0510 | lr 4.02e-04 | 347.8 ms/it | 94.2k tok/s
iter   4800 | loss 0.0520 | lr 4.01e-04 | 347.8 ms/it | 94.2k tok/s
iter   4820 | loss 0.0508 | lr 4.00e-04 | 347.8 ms/it | 94.2k tok/s
iter   4840 | loss 0.0494 | lr 3.99e-04 | 347.8 ms/it | 94.2k tok/s
iter   4860 | loss 0.0526 | lr 3.99e-04 | 347.9 ms/it | 94.2k tok/s
iter   4880 | loss 0.0533 | lr 3.98e-04 | 347.8 ms/it | 94.2k tok/s
iter   4900 | loss 0.0521 | lr 3.97e-04 | 347.8 ms/it | 94.2k tok/s
iter   4920 | loss 0.0497 | lr 3.96e-04 | 347.8 ms/it | 94.2k tok/s
iter   4940 | loss 0.0504 | lr 3.95e-04 | 347.8 ms/it | 94.2k tok/s
iter   4960 | loss 0.0485 | lr 3.95e-04 | 347.8 ms/it | 94.2k tok/s
iter   4980 | loss 0.0511 | lr 3.94e-04 | 347.8 ms/it | 94.2k tok/s
iter   5000 | loss 0.0508 | lr 3.93e-04 | 347.8 ms/it | 94.2k tok/s
           eval | train 0.0499 | val 4.4878
iter   5020 | loss 0.0502 | lr 3.92e-04 | 897.8 ms/it | 36.5k tok/s
iter   5040 | loss 0.0491 | lr 3.91e-04 | 347.9 ms/it | 94.2k tok/s
iter   5060 | loss 0.0522 | lr 3.91e-04 | 347.9 ms/it | 94.2k tok/s
iter   5080 | loss 0.0486 | lr 3.90e-04 | 347.9 ms/it | 94.2k tok/s
iter   5100 | loss 0.0514 | lr 3.89e-04 | 347.9 ms/it | 94.2k tok/s
iter   5120 | loss 0.0490 | lr 3.88e-04 | 347.9 ms/it | 94.2k tok/s
iter   5140 | loss 0.0502 | lr 3.87e-04 | 347.8 ms/it | 94.2k tok/s
iter   5160 | loss 0.0467 | lr 3.86e-04 | 347.9 ms/it | 94.2k tok/s
iter   5180 | loss 0.0464 | lr 3.86e-04 | 347.9 ms/it | 94.2k tok/s
iter   5200 | loss 0.0495 | lr 3.85e-04 | 347.8 ms/it | 94.2k tok/s
iter   5220 | loss 0.0452 | lr 3.84e-04 | 347.9 ms/it | 94.2k tok/s
iter   5240 | loss 0.0496 | lr 3.83e-04 | 347.9 ms/it | 94.2k tok/s
iter   5260 | loss 0.0500 | lr 3.82e-04 | 347.9 ms/it | 94.2k tok/s
iter   5280 | loss 0.0502 | lr 3.81e-04 | 347.8 ms/it | 94.2k tok/s
iter   5300 | loss 0.0467 | lr 3.81e-04 | 347.9 ms/it | 94.2k tok/s
iter   5320 | loss 0.0466 | lr 3.80e-04 | 347.8 ms/it | 94.2k tok/s
iter   5340 | loss 0.0496 | lr 3.79e-04 | 347.9 ms/it | 94.2k tok/s
iter   5360 | loss 0.0504 | lr 3.78e-04 | 347.9 ms/it | 94.2k tok/s
iter   5380 | loss 0.0476 | lr 3.77e-04 | 347.9 ms/it | 94.2k tok/s
iter   5400 | loss 0.0497 | lr 3.76e-04 | 347.8 ms/it | 94.2k tok/s
iter   5420 | loss 0.0511 | lr 3.75e-04 | 347.9 ms/it | 94.2k tok/s
iter   5440 | loss 0.0477 | lr 3.75e-04 | 347.9 ms/it | 94.2k tok/s
iter   5460 | loss 0.0516 | lr 3.74e-04 | 347.8 ms/it | 94.2k tok/s
iter   5480 | loss 0.0481 | lr 3.73e-04 | 347.9 ms/it | 94.2k tok/s
iter   5500 | loss 0.0474 | lr 3.72e-04 | 348.0 ms/it | 94.2k tok/s
           eval | train 0.0472 | val 4.5986
iter   5520 | loss 0.0471 | lr 3.71e-04 | 897.7 ms/it | 36.5k tok/s
iter   5540 | loss 0.0486 | lr 3.70e-04 | 348.0 ms/it | 94.2k tok/s
iter   5560 | loss 0.0463 | lr 3.69e-04 | 348.0 ms/it | 94.2k tok/s
iter   5580 | loss 0.0477 | lr 3.69e-04 | 347.9 ms/it | 94.2k tok/s
iter   5600 | loss 0.0470 | lr 3.68e-04 | 348.0 ms/it | 94.2k tok/s
iter   5620 | loss 0.0465 | lr 3.67e-04 | 347.9 ms/it | 94.2k tok/s
iter   5640 | loss 0.0465 | lr 3.66e-04 | 347.9 ms/it | 94.2k tok/s
