model: 10.65M params (10.62M non-emb)
iter   1230 | loss 0.4117 | lr 5.32e-04 | 85.2 ms/it | 192.3k tok/s
iter   1240 | loss 0.3954 | lr 5.31e-04 | 85.2 ms/it | 192.2k tok/s
iter   1250 | loss 0.3995 | lr 5.30e-04 | 85.2 ms/it | 192.3k tok/s
           eval | train 0.3857 | val 2.4027
iter   1260 | loss 0.3804 | lr 5.29e-04 | 354.1 ms/it | 46.3k tok/s
iter   1270 | loss 0.3969 | lr 5.28e-04 | 85.2 ms/it | 192.2k tok/s
iter   1280 | loss 0.3906 | lr 5.26e-04 | 85.2 ms/it | 192.2k tok/s
iter   1290 | loss 0.3717 | lr 5.25e-04 | 85.3 ms/it | 192.2k tok/s
iter   1300 | loss 0.3113 | lr 5.24e-04 | 85.2 ms/it | 192.3k tok/s
iter   1310 | loss 0.3776 | lr 5.23e-04 | 85.2 ms/it | 192.3k tok/s
iter   1320 | loss 0.3843 | lr 5.22e-04 | 85.0 ms/it | 192.7k tok/s
iter   1330 | loss 0.3496 | lr 5.20e-04 | 84.9 ms/it | 192.9k tok/s
iter   1340 | loss 0.3355 | lr 5.19e-04 | 85.0 ms/it | 192.8k tok/s
iter   1350 | loss 0.3255 | lr 5.18e-04 | 84.9 ms/it | 193.0k tok/s
iter   1360 | loss 0.3309 | lr 5.17e-04 | 85.2 ms/it | 192.4k tok/s
iter   1370 | loss 0.3272 | lr 5.15e-04 | 85.0 ms/it | 192.9k tok/s
iter   1380 | loss 0.3209 | lr 5.14e-04 | 84.9 ms/it | 192.9k tok/s
iter   1390 | loss 0.3216 | lr 5.13e-04 | 84.9 ms/it | 193.0k tok/s
iter   1400 | loss 0.3306 | lr 5.12e-04 | 84.9 ms/it | 193.1k tok/s
iter   1410 | loss 0.3184 | lr 5.10e-04 | 85.0 ms/it | 192.8k tok/s
iter   1420 | loss 0.3051 | lr 5.09e-04 | 84.9 ms/it | 192.9k tok/s
iter   1430 | loss 0.2825 | lr 5.08e-04 | 85.0 ms/it | 192.8k tok/s
iter   1440 | loss 0.2844 | lr 5.06e-04 | 84.9 ms/it | 193.0k tok/s
iter   1450 | loss 0.2854 | lr 5.05e-04 | 84.9 ms/it | 193.0k tok/s
iter   1460 | loss 0.2620 | lr 5.04e-04 | 84.9 ms/it | 192.9k tok/s
iter   1470 | loss 0.2976 | lr 5.02e-04 | 84.9 ms/it | 192.9k tok/s
iter   1480 | loss 0.2811 | lr 5.01e-04 | 84.9 ms/it | 192.9k tok/s
iter   1490 | loss 0.2729 | lr 5.00e-04 | 85.0 ms/it | 192.8k tok/s
iter   1500 | loss 0.2777 | lr 4.98e-04 | 85.0 ms/it | 192.8k tok/s
           eval | train 0.2786 | val 2.6951
iter   1510 | loss 0.2802 | lr 4.97e-04 | 352.7 ms/it | 46.5k tok/s
iter   1520 | loss 0.2812 | lr 4.96e-04 | 84.9 ms/it | 192.9k tok/s
iter   1530 | loss 0.2760 | lr 4.94e-04 | 84.9 ms/it | 192.9k tok/s
iter   1540 | loss 0.2731 | lr 4.93e-04 | 85.0 ms/it | 192.9k tok/s
iter   1550 | loss 0.2639 | lr 4.91e-04 | 85.0 ms/it | 192.9k tok/s
iter   1560 | loss 0.2661 | lr 4.90e-04 | 84.9 ms/it | 192.9k tok/s
iter   1570 | loss 0.2831 | lr 4.89e-04 | 85.0 ms/it | 192.9k tok/s
iter   1580 | loss 0.2634 | lr 4.87e-04 | 84.9 ms/it | 193.0k tok/s
iter   1590 | loss 0.2484 | lr 4.86e-04 | 85.0 ms/it | 192.7k tok/s
iter   1600 | loss 0.2576 | lr 4.84e-04 | 85.0 ms/it | 192.8k tok/s
iter   1610 | loss 0.2718 | lr 4.83e-04 | 84.9 ms/it | 192.9k tok/s
iter   1620 | loss 0.2560 | lr 4.82e-04 | 84.9 ms/it | 192.9k tok/s
iter   1630 | loss 0.2449 | lr 4.80e-04 | 84.9 ms/it | 192.9k tok/s
iter   1640 | loss 0.2544 | lr 4.79e-04 | 84.9 ms/it | 192.9k tok/s
iter   1650 | loss 0.2244 | lr 4.77e-04 | 84.9 ms/it | 192.9k tok/s
iter   1660 | loss 0.2386 | lr 4.76e-04 | 85.0 ms/it | 192.8k tok/s
iter   1670 | loss 0.2528 | lr 4.74e-04 | 85.0 ms/it | 192.8k tok/s
iter   1680 | loss 0.2429 | lr 4.73e-04 | 85.0 ms/it | 192.8k tok/s
iter   1690 | loss 0.2202 | lr 4.71e-04 | 84.9 ms/it | 192.9k tok/s
iter   1700 | loss 0.2340 | lr 4.70e-04 | 85.0 ms/it | 192.9k tok/s
iter   1710 | loss 0.2374 | lr 4.68e-04 | 85.0 ms/it | 192.9k tok/s
iter   1720 | loss 0.2136 | lr 4.67e-04 | 84.9 ms/it | 192.9k tok/s
iter   1730 | loss 0.2153 | lr 4.65e-04 | 84.9 ms/it | 192.9k tok/s
iter   1740 | loss 0.2057 | lr 4.64e-04 | 85.0 ms/it | 192.8k tok/s
iter   1750 | loss 0.2101 | lr 4.62e-04 | 84.9 ms/it | 193.0k tok/s
           eval | train 0.2202 | val 2.9648
